lhelc_id,pty_id,party,date,country,countryname,edate,partyname,parfam,pervote,absseat,totseats,rile,logrile,logrile.SE,ctr_ccode,lhelc_date,lh_id,lhelc_prv_id,pty_lwr_v2,pty_upr_v2,pty_abr,pty_lhelc_identsh,pty_csim_lhvotesh,pty_csim_lhvotesh_sd,pty_clg_lhvotesh,clg_pseudor2,clg_bpid,clg_bpid_se,csim_disc,pty_comp,pty_cab,tier1_avemag,leadact
2008,2001,42520,197110,42,Austria,10/10/1971,ÖVP Austrian People's Party,50,43.114,80,183,25.3,1.22423932706788,0.243292262420543,AUT,1970-03-01,2008,2007,0.439224399,0.468224399,OVP,,,,,,,,,,1,20.33,18.76
2008,2002,42320,197110,42,Austria,10/10/1971,SPÖ Austrian Social Democratic Party,30,50.037,93,183,-13.8,-0.638114809203647,0.233369420645385,AUT,1970-03-01,2008,2007,0.461282172,0.490282172,SPO,,,,,,,,,,0,20.33,20.98
2008,2007,42420,197110,42,Austria,10/10/1971,FPÖ Austrian Freedom Party,70,5.453,10,183,-6.6,-0.211735959187479,0.154116914175879,AUT,1970-03-01,2008,2007,0.044865811,0.571865811,FPO,,,,,,,,,,0,20.33,20.65
2009,2001,42520,197510,42,Austria,05/10/1975,ÖVP Austrian People's Party,50,42.946,80,183,3.1,0.0994145764901041,0.143779317347055,AUT,1971-10-10,2009,2008,0,0.438963735,OVP,,,,,,,,,,0,20.33,18.76
2009,2002,42320,197510,42,Austria,05/10/1975,SPÖ Austrian Social Democratic Party,30,50.422,93,183,-18.9,-1.01333359036628,0.21967295670682,AUT,1971-10-10,2009,2008,0.492408712,1,SPO,,,,,,,,,,1,20.33,20.98
2009,2007,42420,197510,42,Austria,05/10/1975,FPÖ Austrian Freedom Party,70,5.407,10,183,-11.9,-0.386027080907101,0.25647364855621,AUT,1971-10-10,2009,2008,0.004584201,0.066584201,FPO,,,,,,,,,,0,20.33,20.65
2010,2001,42520,197905,42,Austria,06/05/1979,ÖVP Austrian People's Party,50,41.904,77,183,-17.1,-0.663604113835824,0.240696746617757,AUT,1975-10-05,2010,2009,0,0.438461407,OVP,,,,,,,,,,0,20.33,18.76
2010,2002,42320,197905,42,Austria,06/05/1979,SPÖ Austrian Social Democratic Party,30,51.028,95,183,-5.7,-0.227687035700538,0.122088974413561,AUT,1975-10-05,2010,2009,0.495223537,1,SPO,,,,,,,,,,1,20.33,20.98
2010,2007,42420,197905,42,Austria,06/05/1979,FPÖ Austrian Freedom Party,70,6.063,11,183,-3.5,-0.108682078441259,0.186454266708917,AUT,1975-10-05,2010,2009,0,0.064069075,FPO,,,,,,,,,,0,20.33,20.65
2011,2001,42520,198304,42,Austria,24/04/1983,ÖVP Austrian People's Party,50,43.223,81,183,1,0.0470127892995024,0.236097828765139,AUT,1979-05-06,2011,2010,0,0.43903866,OVP,,,,,,,,,,0,20.33,18.76
2011,2002,42320,198304,42,Austria,24/04/1983,SPÖ Austrian Social Democratic Party,30,47.647,90,183,-21.2,-0.923184012686592,0.119050955572417,AUT,1979-05-06,2011,2010,0.490276574,1,SPO,,,,,,,,,,1,20.33,20.98
2011,2007,42420,198304,42,Austria,24/04/1983,FPÖ Austrian Freedom Party,70,4.982,12,183,15.1,0.547482692981207,0.134240262702953,AUT,1979-05-06,2011,2010,0.0016318,0.0886318,FPO,,,,,,,,,,0,20.33,20.65
2012,2001,42520,198611,42,Austria,23/11/1986,ÖVP Austrian People's Party,50,41.294,77,183,29.1,1.39277246626231,0.326881652536326,AUT,1983-04-24,2012,2011,0.42422285,0.49122285,OVP,,,,,,,,,,0,20.33,18.76
2012,2002,42320,198611,42,Austria,23/11/1986,SPÖ Austrian Social Democratic Party,30,43.115,80,183,-7.1,-0.319895610609021,0.150539563641768,AUT,1983-04-24,2012,2011,0.418490382,0.484490382,SPO,,,,,,,,,,1,20.33,20.98
2012,2007,42420,198611,42,Austria,23/11/1986,FPÖ Austrian Freedom Party,70,9.732,18,183,-5.9,-0.236747515585861,0.212923535466557,AUT,1983-04-24,2012,2011,0,0.571816687,FPO,,,,,,,,,,0,20.33,20.65
2013,2001,42520,199010,42,Austria,07/10/1990,ÖVP Austrian People's Party,50,32.064,60,183,4.8,0.18945843003619,0.130963834345651,AUT,1986-11-23,2013,2012,0.3919401,0.4489401,OVP,,,,,,,,,,0,20.33,18.76
2013,2002,42320,199010,42,Austria,07/10/1990,SPÖ Austrian Social Democratic Party,30,42.781,80,183,-7.6,-0.370067779826158,0.117109227188538,AUT,1986-11-23,2013,2012,0.391150648,0.451150648,SPO,,,,,,,,,,1,20.33,20.98
2013,2007,42420,199010,42,Austria,07/10/1990,FPÖ Austrian Freedom Party,70,16.635,33,183,14.9,0.598793557225529,0.112505710951494,AUT,1986-11-23,2013,2012,0.064317952,0.475317952,FPO,,,,,,,,,,1,20.33,20.65
2013,2008,42110,199010,42,Austria,07/10/1990,GA Green Alternative,10,4.784,10,183,-12.4,-0.661167549252537,0.0887157623880474,AUT,1986-11-23,2013,2012,0,0.098231437,Gruene,,,,,,,,,,0,20.33,9.43
2014,2001,42520,199410,42,Austria,09/10/1994,ÖVP Austrian People's Party,50,27.667,52,183,24.59,0.921289896486692,0.0872972208225022,AUT,1990-10-07,2014,2013,0.310632756,0.443632756,OVP,,,,,,,,,,1,4.26,18.76
2014,2002,42320,199410,42,Austria,09/10/1994,SPÖ Austrian Social Democratic Party,30,34.918,65,183,-11.056,-0.480957758309728,0.120130068142677,AUT,1990-10-07,2014,2013,0.302841793,0.435841793,SPO,,,,,,,,,,1,4.26,20.98
2014,2007,42420,199410,42,Austria,09/10/1994,FPÖ Austrian Freedom Party,70,22.497,42,183,47.788,2.05566798006519,0.147448004054729,AUT,1990-10-07,2014,2013,0.125350455,0.423350455,FPO,,,,,,,,,,0,4.26,20.65
